condition,trial_number,placer,mean.acc,median.acc,sd.acc,min.acc,max.acc
Friends,1,Matcher,0.869791667,0.833333333,0.128987331,0.583333333,1
Friends,1,Overhearer,0.802083333,0.791666667,0.187268375,0.5,1
Friends,3,Matcher,0.953125,1,0.096074576,0.666666667,1
Friends,3,Overhearer,0.854166667,0.916666667,0.156643024,0.5,1
Friends,6,Matcher,0.977777778,1,0.04946807,0.833333333,1
Friends,6,Overhearer,0.822222222,0.833333333,0.140388727,0.5,1
Strangers,1,Matcher,0.841666667,0.875,0.168737139,0.583333333,1
Strangers,1,Overhearer,0.75,0.75,0.184256933,0.333333333,1
Strangers,3,Matcher,0.941666667,1,0.136365975,0.583333333,1
Strangers,3,Overhearer,0.833333333,0.833333333,0.146986184,0.583333333,1
Strangers,6,Matcher,0.966666667,1,0.058267158,0.833333333,1
Strangers,6,Overhearer,0.808333333,0.875,0.184466197,0.5,1